"inventory_id","item_sku","description","location_id","ebay_category_id","created_at","updated_at"
342,IZ-0105-210,Intel Core i7-4790 SR1QF 3.6GHz 4-Core LGA 1150,12,164,2026-02-20 11:11:30.972 -0600,
372,"1_031726_RAM",Micron/Crucial MT18JSF1G72AZ-1G6E1ZE 8GB DDR3 ECC UDIMM,23,170083,2026-03-17 13:44:48.301 -0500,
375,D-2620-61,Dell Latitude 7410 Notebook/Laptop,1,177,2026-03-18 11:03:10.474 -0500,
378,D-2620-64,dell latitude 3520 Notebook/Laptop,1,177,2026-03-18 13:18:29.933 -0500,
379,D-2620-65,Dell precision 3560 Notebook/Laptop,1,177,2026-03-19 09:32:47.616 -0500,
380,D-2620-66,Dell latitude 5401 Notebook/Laptop,1,177,2026-03-19 09:47:53.871 -0500,
381,D-2620-59,Dell precision 5550 Notebook/Laptop,1,177,2026-03-19 10:10:25.167 -0500,
382,D-2620-67,Dell Notebook/Laptop,1,177,2026-03-19 10:27:34.375 -0500,
383,KB-031926_1,Intel Core i5-4590T (SR1S6) CPU/Processor,19,164,2026-03-19 13:01:36.888 -0500,
384,KB_031926_2,Intel SR335 CPU/Processor,19,164,2026-03-19 13:29:05.640 -0500,
385,KB_031926_3,Intel Core i5-6500 CPU/Processor,19,164,2026-03-19 14:01:25.694 -0500,
388,KB_031926_6,Intel SR1QN CPU/Processor,19,164,2026-03-19 14:54:28.691 -0500,
373,"2-031726_RAM",SK hynix HMT41GU6DFR8A-PB DDR3L SDRAM,12,170083,2026-03-17 14:29:50.641 -0500,
390,KB-032026_1,Intel SR0TA CPU/Processor,19,164,2026-03-20 10:51:39.356 -0500,
393,KB-032026_3,Intel SR1QN CPU/Processor,19,164,2026-03-20 12:04:58.212 -0500,
394,KB_032026_4,Intel Core i5-4670 SR14D CPU/Processor,19,164,2026-03-20 12:32:51.496 -0500,
395,D-2620-74,Dell precision 3630 Desktop,1,179,2026-03-24 15:05:38.654 -0500,
391,KB-032026_2,Intel SR1QJ CPU/Processor,12,164,2026-03-20 11:35:16.690 -0500,
386,KB_031926_4,Intel Core i7-4790 SR1QF CPU/Processor,12,164,2026-03-19 14:09:45.259 -0500,
355,IZ-0105-220,Intel Core i5-9500 3.0 GHz LGA 1151 Desktop CPU Processor SRF4B,12,164,2026-02-26 14:59:24.066 -0600,
369,"031226_3_RAM",Crucial CT102464BD160B.C16FPD DDR3L SDRAM,12,170083,2026-03-12 14:14:09.046 -0500,
387,KB_031926_5,Intel Core i7-3770S SR0PN CPU/Processor,12,164,2026-03-19 14:25:08.381 -0500,
389,D-2620-71,Intel Core i7-12700KF CPU/Processor,12,164,2026-03-19 16:31:28.484 -0500,
347,IZ-0105-211,Intel SR2L6 Core i5-6500 3.2GHz Socket 1151 Quad-Core CPU Processor | Lot of 5,12,164,2026-02-21 10:32:35.886 -0600,
363,"031126_7",Micron MTA8ATF1G64HZ-2G3H1R DDR4 SDRAM,12,170083,2026-03-11 14:32:17.984 -0500,
396,D-2620-76,"Dell Precision 7780, i7-13850HX, 32GB DDR5 CAMM, 1TB SSD, RTX A1000, For Repair Notebook/Laptop",1,177,2026-03-25 09:33:38.498 -0500,
325,D-2620-39,Dell OptiPlex 3060 Desktop,12,179,2026-02-13 09:52:15.565 -0600,
376,D-2620-62,Dell latitude 5421 Notebook/Laptop,12,177,2026-03-18 11:52:15.112 -0500,
398,D-2620-69,Vintage Apple PowerBook G3 Wallstreet,12,111418,2026-03-25 15:02:45.036 -0500,
340,IZ-0105-208,Intel i5-9600 3.10 GHZ SRF4H,12,164,2026-02-20 10:33:52.055 -0600,
374,D-2620-60,Dell  Precision 5560 Notebook/Laptop,12,177,2026-03-18 10:44:04.231 -0500,
397,D-2620-75,Dell OptiPlex 5080 Mini Desktop,12,179,2026-03-25 11:24:46.016 -0500,
344,D-2620-56,"Dell Latitude 74900. 8gb, 128 ssd, i7-8650u, Notebook/Laptop",9,177,2026-02-20 14:08:10.036 -0600,
330,D-2620-45,"Dell Latitude 7480, 8gb ram, 256gb, i7-6600U Notebook/Laptop",39,177,2026-02-13 14:54:26.540 -0600,
399,KB_0326_1,SK hynix HMT451U7BFR8A DDR3L-1600 ECC UDIMM,23,170083,2026-03-26 10:57:49.914 -0500,
402,D-2620-83,Apple iPhone 15 Pro Max 512GB Sim & Icloud Unlocked - Cracked Screen,1,9355,2026-03-27 11:17:38.439 -0500,
403,CH-0705-22,SanDisk SD8SB8U-256G-1006 Internal SSD,23,175670,2026-03-28 14:22:37.171 -0500,
401,KB_0326_3,Patriot 8GB (2x4GB) DDR4-2133 PC4-17000 CL15 DIMM PSD44G213382 DDR4 SDRAM,12,170083,2026-03-27 10:00:48.822 -0500,
408,D-2620-103,ThinkPad Lenovo T480 Notebook/Laptop,9,177,2026-04-03 16:26:06.548 -0500,
409,D-2620-109,Dell Latitude 5520 16gb ram 124gb ssd iris graphics Notebook/Laptop,9,177,2026-04-03 16:32:41.041 -0500,
410,D-2620-110,Dell Latitude 5510 16gb ram 124gb ssd i5-10310U Notebook/Laptop,9,177,2026-04-03 16:34:18.962 -0500,
